Temperature (K),AC Moment (emu)
164.353675842285,2.70909962005527e-06
163.815711975098,2.7364114527232003e-06
163.270660400391,2.7215772702878e-06
162.7265625,2.7136069874105202e-06
162.180519104004,2.76843818667325e-06
161.638862609863,2.74323389976058e-06
161.098083496094,2.71446927345515e-06
160.554641723633,2.73531549195349e-06
160.017143249512,2.76478778864297e-06
159.467628479004,2.7409062729317402e-06
158.917045593262,2.73502937434232e-06
158.38293457031298,2.77333854629657e-06
157.843284606934,2.74911682558431e-06
157.30270385742202,2.8008719995757002e-06
156.758712768555,2.78222325173482e-06
156.224990844727,2.76106822191728e-06
155.680305480957,2.76997074686324e-06
155.140075683594,2.79914843899227e-06
154.59835815429702,2.78486658694474e-06
154.058364868164,2.78820507987686e-06
153.518783569336,2.81596792601751e-06
152.980659484863,2.79767260886761e-06
152.43962097168,2.8344427134931e-06
151.897346496582,2.8315644691961003e-06
151.353576660156,2.8313229033865397e-06
150.814987182617,2.8137019852535e-06
150.274955749512,2.8407817985007098e-06
149.735237121582,2.83829024888096e-06
149.196060180664,2.84815126797536e-06
148.655197143555,2.79167777802805e-06
148.11149597168,2.84072930085317e-06
147.566497802734,2.86238251539347e-06
147.02462768554702,2.8585969757586203e-06
146.48265838623,2.88561993002552e-06
145.93604278564501,2.8802562053035e-06
145.38973236084,2.85778096345771e-06
144.84952545166,2.863061520962e-06
144.308982849121,2.8584855445587397e-06
143.765975952148,2.8765325991222198e-06
143.222618103027,2.8886978329574e-06
142.681755065918,2.86890083610754e-06
142.14001464843798,2.90314424884134e-06
141.59748840332,3.09825496384019e-06
141.05105590820298,2.90893179186932e-06
140.50879669189501,2.90300650749507e-06
139.96813964843798,2.90541752807637e-06
139.424263000488,2.92296565093803e-06
138.885101318359,2.90384833313685e-06
138.34451293945298,2.91622576705134e-06
137.802429199219,2.89741361113052e-06
137.264930725098,2.90883643539874e-06
136.726211547852,2.89001628659722e-06
136.18303680419902,2.93772936039696e-06
135.643356323242,2.9350153614808e-06
135.097694396973,2.89966401008253e-06
134.560043334961,2.9384200803045398e-06
134.015403747559,3.00732409160171e-06
133.47839355468798,2.9262334635799e-06
132.938179016113,2.9460942218978297e-06
132.39431762695298,2.97233080503317e-06
131.850700378418,2.9732033042073997e-06
131.31335449218798,2.9133764970793497e-06
130.77151489257798,2.90478534625834e-06
130.23420715332,2.9992610169002498e-06
129.692718505859,2.98231537840945e-06
129.151382446289,2.98612474195907e-06
128.610397338867,2.97297021752297e-06
128.067615509033,3.01768294117528e-06
127.528839111328,2.99181989072075e-06
126.983776092529,2.9748682434013303e-06
126.441806793213,3.0132245627559898e-06
125.89907836914101,3.04257111154976e-06
125.355556488037,3.02645814137915e-06
124.816143035889,2.98097384832013e-06
124.278179168701,2.99870991847874e-06
123.740219116211,3.08799290612216e-06
123.194133758545,3.08988128107502e-06
122.64810180664101,3.0602310341407503e-06
122.10931396484399,3.0710890746663e-06
121.568668365479,3.06592809562261e-06
121.024585723877,3.0617295253623e-06
120.486991882324,3.1054810865421e-06
119.948078155518,3.0662027405396703e-06
119.40955352783199,3.16066400259265e-06
118.86417388916,3.09327115737526e-06
118.322132110596,3.03821158585232e-06
117.779460906982,3.1073903716108996e-06
117.24098968505899,3.1252704542542303e-06
116.69504547119101,3.1404914765204897e-06
116.159225463867,3.03691324468559e-06
115.618110656738,3.1499623334232102e-06
115.07566070556601,3.03439941068534e-06
114.164485931396,3.16870074647079e-06
113.62899017334,3.16909783112238e-06
113.088798522949,3.18980911716213e-06
112.55185317993201,3.12294688991883e-06
112.01252746581999,3.22572604571497e-06
111.47052001953101,3.21042404204815e-06
110.931625366211,3.19997895780525e-06
110.38882446289101,3.22443260503492e-06
109.847110748291,3.23990641637669e-06
109.30237197876,3.2849526631164e-06
108.75939178466801,3.2146726680477e-06
108.216426849365,3.27487555968432e-06
107.678085327148,3.27720667952316e-06
107.135566711426,3.2833621099060502e-06
106.59424972534201,3.34832920097126e-06
106.051647186279,3.32604738962586e-06
105.50936889648399,3.33186516129359e-06
104.967182159424,3.5791478199748e-06
104.42819976806601,3.35353423057781e-06
103.88595199585,3.35206154409188e-06
103.34616470336901,3.3771968018904703e-06
102.804718017578,3.39647754486504e-06
102.264240264893,3.37807305553732e-06
101.71940612793001,3.41328645513276e-06
101.17247772216801,3.41884149298151e-06
100.631561279297,3.34068096463447e-06
100.08974838256799,3.44937652848292e-06
99.5477180480957,3.4639792747074095e-06
99.007568359375,3.5035595162352896e-06
98.4659271240234,3.4374336849094497e-06
97.92444229125981,3.51163189466361e-06
97.3816986083984,3.5449598306015502e-06
96.8405532836914,3.55520877549684e-06
96.3035430908203,3.53405029071009e-06
95.75850296020509,3.56422775218986e-06
95.21882247924809,3.5927249940138e-06
94.6818733215332,3.6011834232211197e-06
94.1424217224121,3.67716782682952e-06
93.59764862060551,3.64949559770348e-06
93.05426025390629,3.6711075324823e-06
92.5131568908691,3.63777647342054e-06
91.97182083129879,3.6907204324328598e-06
91.4302635192871,3.69688227895235e-06
90.89192581176759,3.7008797299773804e-06
