Interpolated R,Interpolated T
3512.336915,0.154790401
3512.77922,0.154740741
3513.221525,0.15469111
3513.66383,0.154641508
3514.106134,0.154591934
3514.548439,0.15454239
3514.990744,0.154492875
3515.433049,0.154443389
3515.875354,0.154393931
3516.317658,0.154344503
3516.759963,0.154295103
3517.202268,0.154245732
3517.644573,0.15419639
3518.086877,0.154147077
3518.529182,0.154097793
3518.971487,0.154048537
3519.413792,0.15399931
3519.856096,0.153950112
3520.298401,0.153900943
3520.740706,0.153851802
3521.183011,0.15380269
3521.625316,0.153753606
3522.06762,0.153704551
3522.509925,0.153655524
3522.95223,0.153606526
3523.394535,0.153557557
3523.836839,0.153508616
3524.279144,0.153459703
3524.721449,0.153410819
3525.163754,0.153361964
3525.606059,0.153313136
3526.048363,0.153264337
3526.490668,0.153215567
3526.932973,0.153166824
3527.375278,0.15311811
3527.817582,0.153069425
3528.259887,0.153020767
3528.702192,0.152972138
3529.144497,0.152923537
3529.586801,0.152874964
3530.029106,0.152826419
3530.471411,0.152777902
3530.913716,0.152729414
3531.356021,0.152680953
3531.798325,0.152632521
3532.24063,0.152584116
3532.682935,0.15253574
3533.12524,0.152487392
3533.567544,0.152439071
3534.009849,0.152390778
3534.452154,0.152342514
3534.894459,0.152294277
3535.336763,0.152246068
3535.779068,0.152197887
3536.221373,0.152149733
3536.663678,0.152101608
3537.105983,0.15205351
3537.548287,0.15200544
3537.990592,0.151957398
3538.432897,0.151909383
3538.875202,0.151861396
3539.317506,0.151813437
3539.759811,0.151765505
3540.202116,0.151717601
3540.644421,0.151669724
3541.086725,0.151621875
3541.52903,0.151574053
3541.971335,0.151526259
3542.41364,0.151478492
3542.855945,0.151430753
3543.298249,0.151383041
3543.740554,0.151335357
3544.182859,0.1512877
3544.625164,0.15124007
3545.067468,0.151192468
3545.509773,0.151144893
3545.952078,0.151097345
3546.394383,0.151049824
3546.836687,0.151002331
3547.278992,0.150954865
3547.721297,0.150907426
3548.163602,0.150860014
3548.605907,0.150812629
3549.048211,0.150765272
3549.490516,0.150717941
3549.932821,0.150670638
3550.375126,0.150623361
3550.81743,0.150576112
3551.259735,0.150528889
3551.70204,0.150481694
3552.144345,0.150434525
3552.58665,0.150387384
3553.028954,0.150340269
3553.471259,0.150293181
3553.913564,0.15024612
3554.355869,0.150199085
3554.798173,0.150152078
3555.240478,0.150105097
3555.682783,0.150058143
3556.125088,0.150011216
3556.567392,0.149964315
3557.009697,0.149917441
3557.452002,0.149870594
3557.894307,0.149823773
3558.336612,0.149776979
3558.778916,0.149730212
3559.221221,0.149683471
3559.663526,0.149636756
3560.105831,0.149590068
3560.548135,0.149543406
3560.99044,0.149496771
3561.432745,0.149450163
3561.87505,0.14940358
3562.317354,0.149357024
3562.759659,0.149310495
3563.201964,0.149263992
3563.644269,0.149217515
3564.086574,0.149171064
3564.528878,0.14912464
3564.971183,0.149078241
